gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
4578,4610.1,4190.0,2424.06,2390.78,3,2,50,50,9,15,60,90,370,1844,647,-1
4579,4610.1,4190.0,2436.67,2394.11,2,2,20,22,8,14,2,37,47,615,145,-1
4580,4610.1,4190.0,2433.99,2396.04,2,2,50,20,6,14,30,55,202,948,332,-1
4581,4610.1,3972.3,2428.6,2408.9,3,3,27,20,6,22,7,42,128,714,143,-1
4582,4610.1,3972.3,2433.67,2414.25,2,3,25,20,5,24,5,41,93,512,175,-1
4583,4610.1,3972.3,2429.81,2415.45,2,2,24,50,5,23,34,55,82,830,282,-1
4584,4610.1,3972.3,2419.05,2414.72,2,2,20,21,5,22,1,34,27,357,130,-1
4585,4610.1,3972.3,2387.35,2366.96,2,2,21,22,5,19,3,22,0,515,55,-1
4586,4610.1,3972.3,2378.3,2367.07,2,2,41,27,5,20,28,48,37,1039,155,-1
4587,4610.1,3936.7,2377.88,2362.8,2,2,50,50,5,19,60,72,109,953,369,-1
4588,4218.5,3936.7,2353.39,2354.96,2,2,20,45,10,20,25,44,14,342,160,-1
4589,4218.5,3936.7,2327.64,2362.19,2,2,23,20,7,19,3,29,16,352,5,-1
4590,4218.5,3936.7,2323.93,2389.74,2,2,34,21,7,19,15,47,61,577,65,-1
4591,3932.8,3936.7,2320.9,2403.55,2,2,24,24,12,19,8,38,191,519,161,-1
4592,3932.8,3936.7,2311.68,2399.28,2,2,23,23,11,19,6,39,110,604,99,-1
4593,3932.8,3936.7,2297.86,2367.48,2,2,26,20,10,15,6,31,36,263,91,-1
4594,3932.8,3936.7,2286.88,2363.11,2,2,38,23,9,11,21,44,33,400,124,-1
4595,3932.8,3936.7,2299.25,2365.2,2,2,20,23,8,12,3,33,78,407,91,-1
4596,3932.8,3936.7,2296.33,2361.6,2,2,20,20,8,11,0,30,70,255,91,-1
4597,3932.8,3936.7,2306.26,2363.49,2,3,20,21,8,14,1,36,90,503,146,-1
4598,3932.8,3936.7,2299.26,2366.43,2,2,23,25,8,14,8,39,93,606,331,-1
4599,3932.8,3936.7,2281.21,2322.26,2,2,20,20,6,13,0,22,0,439,213,-1
4600,3932.8,3936.7,2284.55,2342.05,2,2,21,20,6,14,1,34,42,412,83,-1
4601,3932.8,3936.7,2291.99,2354.04,2,2,22,20,6,14,2,36,97,312,79,-1
4602,3932.8,3936.7,2296.03,2355.13,2,2,37,26,7,15,23,49,81,618,181,-1
4603,3932.8,3936.7,2308.21,2348.21,3,2,23,20,10,13,3,35,35,239,153,-1
4604,3932.8,3936.7,2321.91,2343.75,3,2,29,22,12,10,11,43,112,520,149,-1
4605,3932.8,3936.7,2322.98,2352.07,2,2,22,21,11,10,3,38,86,410,188,-1
4606,3932.8,3936.7,2325.55,2354.0,2,2,20,24,9,11,4,40,168,482,76,-1
4607,3932.8,3936.7,2335.52,2356.57,2,2,21,23,9,12,4,40,47,611,78,-1
4608,3932.8,3936.7,2350.5,2347.33,2,2,21,23,10,10,4,41,279,492,241,-1
4609,3932.8,3936.7,2349.24,2351.97,2,2,20,21,10,11,1,35,181,315,63,-1
4610,3932.8,3936.7,2360.82,2348.0,2,2,46,26,10,9,32,61,199,744,152,-1
4611,3932.8,3936.7,2347.08,2300.5,2,2,22,21,10,8,3,25,33,216,146,-1
4612,3932.8,3936.7,2351.71,2279.02,2,2,24,31,9,8,15,38,125,496,271,-1
4613,3932.8,3936.7,2341.66,2277.0,2,2,22,20,9,7,2,42,304,242,149,-1
4614,3932.8,3936.7,2349.37,2288.91,2,2,21,20,8,7,1,38,170,500,235,-1
4615,3932.8,3936.7,2345.43,2276.29,2,2,22,21,7,7,3,29,35,579,229,-1
4616,3932.8,3936.7,2344.33,2275.74,2,2,20,20,9,7,0,38,252,749,292,-1
4617,3430.1,3936.7,2334.56,2279.32,2,2,20,20,25,8,0,37,217,436,143,-1
4618,3430.1,3936.7,2333.45,2310.06,2,2,22,21,25,10,3,42,119,726,238,-1
4619,4600.3,3936.7,2352.16,2312.92,3,2,22,20,1,11,2,38,105,612,176,-1
4620,4600.3,3936.7,2362.24,2315.85,3,2,21,20,1,9,1,41,129,453,135,-1
4621,4600.3,3936.7,2359.14,2321.83,2,2,20,20,1,10,0,36,122,433,156,-1
4622,4600.3,3936.7,2380.44,2325.35,3,2,20,20,1,11,0,39,90,648,137,-1
4623,4600.3,3936.7,2389.84,2345.03,2,3,21,23,1,11,4,39,224,866,135,-1
4624,4600.3,3936.7,2376.26,2337.71,2,2,20,23,1,10,3,38,426,565,174,-1
4625,4600.3,3936.7,2362.67,2345.91,2,2,20,20,1,10,0,37,256,751,392,-1
4626,4600.3,6455.8,2359.5,2383.62,2,3,24,21,1,1,5,41,521,1626,327,-1
4627,4600.3,6455.8,2364.84,2372.27,2,2,20,20,1,1,0,36,294,624,188,-1
4628,4600.3,6455.8,2363.58,2374.66,2,3,20,20,1,1,0,38,452,436,137,-1
4629,4600.3,6455.8,2358.15,2357.08,3,3,27,34,2,1,21,53,561,984,530,-1
4630,4600.3,6455.8,2369.71,2362.01,3,2,21,20,2,1,1,39,215,717,121,-1
4631,4600.3,6455.8,2364.66,2369.14,2,2,20,20,2,1,0,33,43,570,111,-1
4632,4600.3,6455.8,2367.01,2377.29,2,2,20,20,2,1,0,38,513,847,335,-1
4633,4600.3,6455.8,2381.77,2387.22,2,3,21,21,2,1,2,38,231,710,109,-1
4634,4600.3,6455.8,2388.41,2383.61,3,2,20,23,2,1,3,41,381,572,232,-1
4635,4600.3,6455.8,2374.24,2393.64,2,2,20,21,1,1,1,40,308,580,222,-1
4636,4600.3,6455.8,2365.27,2385.6,2,2,20,20,1,1,0,37,269,525,213,-1
4637,4600.3,6455.8,2395.8,2384.07,2,2,20,21,1,1,1,36,306,839,174,-1
4638,4600.3,4162.0,2409.46,2373.57,3,3,20,21,1,7,1,41,295,577,182,-1
4639,4600.3,4162.0,2405.49,2386.51,2,2,20,21,1,7,1,41,147,594,145,-1
4640,4600.3,3599.9,2423.35,2373.96,2,2,20,20,1,25,0,37,143,763,171,-1
4641,4600.3,3599.9,2429.45,2378.53,2,2,22,50,1,25,32,51,261,912,323,-1
4642,4600.3,3599.9,2420.73,2382.74,2,2,25,20,1,25,5,41,194,743,176,-1
4643,4600.3,3599.9,2405.81,2380.38,2,2,21,22,1,25,3,37,94,488,153,-1
4644,4600.3,5320.0,2395.99,2392.31,2,3,31,22,1,1,13,53,146,706,277,-1
4645,4600.3,5320.0,2390.31,2383.77,2,2,20,22,1,1,2,39,180,340,178,-1
4646,4600.3,5320.0,2384.79,2373.42,2,2,25,25,1,1,10,43,185,565,262,-1
4647,4600.3,5320.0,2375.3,2381.24,2,2,23,50,1,1,33,61,232,735,261,-1
4648,4600.3,5320.0,2380.5,2382.98,2,2,20,20,1,1,0,35,20,329,75,-1
4649,4600.3,5320.0,2366.96,2379.02,2,2,38,22,1,1,20,56,210,758,358,-1
4650,3364.0,5320.0,2377.52,2393.89,2,2,50,50,25,1,60,69,141,1178,312,-1
4651,3364.0,5320.0,2390.28,2413.1,2,3,50,50,25,1,60,76,92,697,176,-1
4652,3364.0,5320.0,2396.7,2423.8,2,3,34,32,25,1,26,57,93,703,162,-1
4653,3364.0,5320.0,2394.84,2425.19,2,2,20,32,25,1,12,44,78,714,263,-1
4654,3364.0,5320.0,2392.49,2422.87,2,2,50,50,25,1,60,66,124,812,192,-1
4655,3364.0,5320.0,2400.92,2425.2,2,2,50,50,25,1,60,73,362,1075,361,-1
4656,3364.0,5320.0,2401.42,2431.23,2,2,22,22,25,1,4,39,59,593,205,-1
4657,3878.1,5320.0,2415.79,2429.51,3,3,20,20,12,1,0,37,97,433,111,-1
4658,3878.1,5320.0,2431.08,2424.58,3,3,34,20,15,1,14,49,144,919,188,-1
4659,3878.1,5320.0,2436.49,2427.18,3,3,40,50,16,1,50,74,181,933,378,-1
