gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,winner
360,2388.8,2290.5,163.12,149.72,2,2,50,50,-1
361,2334.7,2384.7,165.66,161.99,2,2,50,50,-1
362,2389.4,2339.4,171.98,169.97,2,2,50,50,-1
363,3229.1,3129.1,168.39,175.8,3,3,50,50,-1
364,2287.5,2387.5,161.24,167.6,2,2,50,50,-1
365,2388.6,2338.6,167.36,169.79,2,2,50,50,-1
366,2488.1,2388.1,173.35,168.86,2,2,50,50,-1
367,2387.9,2437.9,157.31,169.9,2,2,50,50,-1
368,2390.0,2340.0,161.66,147.68,2,2,50,50,-1
369,2341.3,2341.3,168.11,164.92,2,2,50,50,-1
370,2397.6,2488.0,171.16,173.72,2,2,50,50,-1
371,2337.1,3187.1,173.02,164.43,2,3,50,50,-1
372,2492.6,3187.5,169.39,172.83,2,3,50,50,-1
373,2298.1,2387.0,169.28,158.18,2,2,50,50,-1
374,2384.2,2334.2,162.02,163.17,2,2,50,50,-1
375,2399.9,2498.7,170.72,179.21,3,2,50,50,-1
376,2387.4,3137.4,155.0,160.01,2,3,50,50,-1
377,2386.2,2286.2,166.52,150.01,2,2,50,50,-1
378,2387.1,2400.0,171.56,174.43,2,2,50,50,-1
379,2488.4,2388.4,164.71,175.68,2,2,50,50,-1
380,2493.4,2399.2,164.83,173.61,2,2,50,50,-1
381,2387.3,2487.3,170.66,159.27,2,2,50,50,-1
382,2387.5,2337.5,151.67,162.12,2,2,50,50,-1
383,2396.8,2488.6,175.85,169.99,2,2,50,50,-1
384,3190.0,2390.0,173.86,156.82,3,2,50,50,-1
385,2336.6,3134.6,172.47,172.91,2,3,50,50,-1
386,2386.6,2400.0,178.6,176.85,2,2,50,50,-1
387,2387.8,3237.8,174.09,179.26,2,3,50,50,-1
388,2398.8,2342.3,157.03,163.21,3,2,50,50,-1
389,2342.0,2388.5,159.3,160.39,3,3,50,50,-1
390,2500.0,3349.9,174.47,170.67,2,3,50,50,-1
391,2295.0,2333.1,165.01,168.56,2,2,50,50,-1
392,2382.8,2382.8,170.44,166.33,2,2,50,50,-1
393,2381.6,2384.4,155.05,155.95,2,2,50,50,-1
394,3238.6,2338.6,167.32,162.77,3,3,50,50,-1
395,2378.9,2378.9,166.41,172.53,3,3,50,50,-1
396,2382.0,2282.0,162.21,164.71,2,2,50,50,-1
397,2336.1,2436.1,159.09,168.51,2,2,50,50,-1
398,2382.6,3132.6,160.5,174.55,2,3,50,50,-1
399,3188.5,2387.3,155.48,166.94,3,3,50,50,-1
400,3396.9,2344.6,171.68,154.33,3,2,50,50,-1
401,3280.1,2380.1,175.6,164.78,3,3,50,50,-1
402,2291.2,2386.3,142.19,141.77,2,2,50,50,-1
403,2434.9,2334.9,176.04,156.5,2,2,50,50,-1
404,2295.4,2295.4,154.28,142.86,2,2,50,50,-1
405,3191.4,2291.4,145.11,144.97,3,2,50,50,-1
406,2336.9,2394.1,165.79,158.26,2,2,50,50,-1
407,2387.4,2387.4,172.03,152.67,2,2,50,50,-1
408,2477.4,2325.5,173.19,162.74,3,2,50,50,-1
409,3134.6,3234.6,165.32,174.68,3,3,50,50,-1
410,2485.7,2385.7,159.92,162.27,2,2,50,50,-1
411,2487.3,2296.4,153.73,156.97,3,2,50,50,-1
412,2396.9,2387.2,155.27,153.05,2,2,50,50,-1
413,2336.7,2399.6,157.97,173.75,2,2,50,50,-1
414,2293.3,3139.7,161.87,181.1,2,3,50,50,-1
415,2381.2,2384.3,145.66,138.81,2,2,50,50,-1
416,2375.4,2325.4,166.63,165.1,3,2,50,50,-1
417,2337.6,2385.2,160.03,172.77,2,2,50,50,-1
418,2387.2,2388.4,163.06,171.22,2,2,50,50,-1
419,2336.9,2391.5,147.81,145.38,2,2,50,50,-1
420,2497.4,2341.6,172.59,152.6,2,2,50,50,-1
421,2236.3,2339.3,130.91,153.84,2,2,50,50,-1
422,2390.7,2290.7,132.29,135.49,2,2,50,50,-1
423,2386.1,2237.4,152.98,138.5,2,2,50,50,-1
424,2298.6,2294.8,128.62,121.58,2,2,50,50,-1
425,2387.0,2137.0,147.16,121.17,2,2,50,50,-1
426,2240.3,2294.5,142.83,142.89,2,2,50,50,-1
427,2249.0,2250.0,127.74,145.92,2,2,50,50,-1
428,2283.5,2286.0,139.08,160.63,2,2,50,50,-1
429,2340.4,2290.4,133.67,139.26,2,2,50,50,-1
430,2387.0,2237.0,140.2,127.19,2,2,50,50,-1
431,2381.6,2381.6,147.62,154.42,2,2,50,50,-1
432,2392.8,2242.8,139.85,148.84,2,2,50,50,-1
433,2294.6,2285.3,134.95,138.23,2,2,50,50,-1
434,2395.4,2245.4,125.03,138.84,2,2,50,50,-1
435,2392.8,2392.8,156.64,143.64,2,2,50,50,-1
436,2387.3,2387.3,154.88,146.44,2,2,50,50,-1
