gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
1752,3389.0,3574.7,468.87,476.16,3,3,50,50,5,2,-1
1753,2490.9,4016.7,452.63,486.65,3,3,50,50,10,2,-1
1754,3568.1,3697.8,508.56,494.26,3,3,50,50,4,3,-1
1755,3265.4,2479.3,467.65,455.61,3,3,50,50,10,10,-1
1756,4222.7,2363.5,495.55,442.51,3,3,50,50,3,10,-1
1757,2577.0,2414.7,452.8,443.38,2,3,50,50,10,10,-1
1758,3590.6,3373.8,469.31,476.79,3,3,50,50,2,4,-1
1759,2490.0,3464.2,455.98,472.75,3,3,50,50,10,3,-1
1760,3666.8,3641.9,507.1,472.63,3,3,50,50,4,2,-1
1761,3437.9,3871.8,483.88,495.34,3,3,50,50,3,3,-1
1762,4212.4,3873.6,500.24,479.22,3,3,50,50,3,2,-1
1763,3805.7,4015.1,486.04,497.51,3,3,50,50,2,3,-1
1764,4281.6,3969.6,509.13,493.39,3,3,50,50,3,3,-1
1765,3659.7,3884.9,489.96,484.83,3,3,50,50,3,3,-1
1766,4150.1,3899.9,486.07,496.83,3,3,50,50,2,3,-1
1767,3250.2,3793.1,475.54,504.47,3,3,50,50,10,4,-1
1768,3790.3,3859.5,471.63,513.01,3,3,50,50,1,5,-1
1769,4561.8,3948.3,487.1,479.48,3,3,50,50,1,2,-1
1770,3758.0,2544.7,490.55,449.95,3,2,50,50,3,10,-1
1771,3808.9,3474.0,531.04,470.8,3,3,50,50,6,2,-1
1772,3962.7,3662.1,539.54,475.69,3,3,50,50,7,2,-1
