gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,unuseful_drops,winner
4701,3559.5,3443.0,2308.98,2240.11,2,2,50,50,14,21,60,75,682,0,1080,-1
4702,3559.5,3443.0,2300.64,2241.96,3,3,50,50,14,22,60,80,64,62,594,-1
4703,3559.5,3443.0,2301.91,2235.7,3,2,50,50,14,25,60,81,73,15,827,-1
4704,3559.5,3443.0,2259.93,2198.72,2,2,21,22,13,24,3,20,1,0,197,-1
4705,3559.5,3443.0,2215.51,2161.77,2,2,20,21,12,21,1,17,0,0,212,-1
4706,3559.5,3443.0,2231.03,2173.22,2,2,50,50,12,20,60,81,58,0,566,-1
4707,3559.5,3387.1,2236.94,2169.24,3,2,50,50,16,25,60,77,29,9,668,-1
4708,3559.5,3387.1,2210.82,2128.45,2,2,21,21,16,25,2,17,0,0,114,-1
4709,3559.5,3387.1,2210.79,2136.61,3,3,50,50,15,25,60,84,29,8,562,-1
4710,3559.5,3387.1,2221.02,2167.13,3,3,50,50,15,25,60,82,35,28,798,-1
4711,3559.5,3387.1,2230.63,2199.97,3,3,50,50,15,25,60,79,31,42,455,-1
4712,3559.5,3387.1,2236.24,2211.29,3,3,50,50,15,25,60,84,22,31,264,-1
4713,3559.5,3387.1,2244.75,2209.2,3,3,50,50,14,25,60,84,19,11,345,-1
4714,3559.5,3387.1,2220.16,2186.01,2,2,20,20,13,25,0,20,0,0,37,-1
4715,3559.5,3399.7,2234.67,2186.37,3,3,50,50,15,25,60,82,19,4,339,-1
4716,3559.5,3399.7,2236.16,2193.2,2,2,50,50,13,25,60,81,32,0,429,-1
4717,3559.5,3399.7,2241.86,2212.1,3,2,50,50,13,25,60,82,30,13,607,-1
4718,3559.5,3399.7,2251.35,2221.84,3,3,50,50,12,25,60,89,33,0,465,-1
4719,3404.6,3399.7,2246.76,2239.15,2,3,50,50,25,25,60,84,40,21,554,-1
4720,3359.7,3399.7,2250.35,2248.83,2,2,50,50,25,25,60,83,28,0,526,-1
4721,3359.7,3399.7,2258.67,2263.16,3,3,50,50,25,25,60,83,16,22,345,-1
4722,3359.7,3399.7,2262.02,2254.93,3,2,50,50,25,25,60,82,28,14,418,-1
4723,3359.7,3399.7,2270.4,2255.62,2,3,50,50,25,25,60,83,62,4,524,-1
4724,3388.4,3399.7,2287.95,2258.33,3,2,50,50,25,25,60,86,27,0,521,-1
