gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
265,5017.6,3858.3,3431.59,2980.75,4,3,-1
266,6176.9,5682.6,4309.27,4082.65,4,3,-1
267,5522.1,5219.6,4342.22,4011.37,3,4,-1
268,6393.2,5356.0,4339.0,3807.34,4,3,-1
269,5510.4,4375.7,3701.25,3100.02,4,3,-1
270,5961.2,5461.7,3847.87,3652.78,3,3,-1
271,5573.6,5731.2,4195.72,3872.84,3,4,-1
272,5151.9,5592.6,3904.54,3884.02,3,3,-1
273,5118.9,5191.8,4168.11,4000.98,3,3,-1
274,6437.5,5342.3,4551.45,3896.27,4,4,-1
275,5362.4,5190.6,4423.31,3889.19,3,3,-1
276,5856.5,4977.3,4467.52,4115.67,4,3,-1
277,4877.3,4766.2,3567.29,3419.22,4,3,-1
278,5942.8,5032.5,4078.86,3471.18,4,3,-1
279,4686.0,4698.4,3273.57,2946.59,4,3,-1
280,4921.6,4874.0,3671.03,3628.55,3,3,-1
281,4266.9,4200.5,3408.54,3366.22,3,3,-1
282,4518.3,4440.8,3289.53,3226.44,3,3,-1
283,4935.1,4565.5,3615.05,3196.45,3,3,-1
284,4535.5,4825.4,3389.16,3151.81,3,3,-1
285,4943.8,5292.3,3673.32,3513.62,4,4,-1
286,4791.4,4689.2,3584.62,3318.53,3,3,-1
287,4457.6,4244.5,3513.29,3237.21,3,3,-1
288,4016.3,4130.3,3158.51,3171.64,3,3,-1
289,4498.1,4233.6,3292.63,3200.32,3,3,-1
290,5177.3,4494.6,3864.15,3591.49,4,3,-1
291,4487.7,4896.5,3364.14,3454.27,3,4,-1
292,5203.5,5738.5,3659.48,3493.63,4,4,-1
293,4139.1,3930.8,3053.15,2967.39,3,3,-1
294,5318.5,4700.8,3908.23,3808.39,4,3,-1
295,5037.8,5254.7,3749.71,3347.44,4,4,-1
296,5142.4,4632.1,3632.13,3483.01,4,3,-1
297,5014.7,4907.5,3639.09,3325.83,3,3,-1
298,4316.7,4566.2,3265.29,3314.04,3,3,-1
299,4546.5,4716.6,3354.6,3361.09,3,3,-1
300,5352.3,5495.9,3701.52,3768.22,3,3,-1
301,4406.2,4478.9,3558.24,3356.66,3,3,-1
302,4965.2,4754.4,3822.37,3358.9,3,3,-1
303,4712.3,4759.1,3535.15,3399.77,3,3,-1
304,4699.2,4591.6,3459.85,3177.28,4,4,-1
305,4166.7,4241.1,3251.27,3204.53,3,3,-1
306,4809.0,4863.1,3546.52,3409.52,4,4,-1
307,4252.7,4280.1,3370.3,3084.98,3,3,-1
308,4241.2,4534.5,3238.98,3286.02,3,3,-1
309,4499.7,4405.9,3325.32,3244.49,4,3,-1
310,6031.3,5892.5,4284.83,4370.8,4,4,-1
311,4625.4,4070.0,3130.55,3127.97,4,3,-1
312,4370.0,4271.5,3243.7,3079.86,3,3,-1
313,5600.0,5170.6,3901.39,3666.39,4,3,-1
314,5166.1,5446.0,3713.37,4070.24,3,4,-1
315,5402.6,5232.6,3645.89,3957.52,3,3,-1
316,5543.8,5244.8,3747.79,3992.93,3,3,-1
317,5070.4,6191.7,3958.96,4029.4,4,4,-1
318,4725.0,5449.6,3133.65,3544.5,3,4,-1
319,4915.9,5476.5,3585.91,3818.02,3,3,-1
320,4381.6,4690.0,3101.66,3359.21,3,3,-1
321,4902.6,5469.4,3901.52,4134.2,3,3,-1
