gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
4264,9922.1,9847.9,4640.01,4570.75,2,2,50,50,15,9,60,74,0,0,0,104,1069,0,0,13187,-1
4265,9922.1,9847.9,4647.57,4606.99,3,3,50,50,15,11,60,75,0,0,0,10,905,0,0,13070,-1
4266,9922.1,9847.9,4627.28,4592.5,3,2,50,50,14,10,60,66,0,0,0,5,1159,0,0,11392,-1
4267,9922.1,9847.9,4622.61,4599.91,2,3,50,50,14,11,60,72,0,0,0,10,1245,0,0,13024,-1
4268,9922.1,9847.9,4657.88,4585.88,3,3,50,50,15,10,60,63,0,0,0,11,808,0,0,11909,-1
4269,9922.1,9847.9,4576.3,4606.69,3,3,50,50,12,11,60,64,0,0,0,1,711,0,0,12272,-1
4270,9922.1,9847.9,4553.99,4620.27,2,2,50,50,10,11,60,71,0,0,0,2,624,0,0,12226,-1
4271,9922.1,9847.9,4566.62,4549.0,3,3,50,50,10,7,60,69,0,0,0,3,677,0,0,11876,-1
4272,9922.1,9847.9,4600.23,4580.02,2,3,50,50,10,8,60,76,0,0,0,13,833,0,0,12156,-1
4273,9922.1,9847.9,4643.41,4564.99,3,3,50,50,13,8,60,70,0,0,0,8,656,0,0,11940,-1
4274,9922.1,9653.9,4677.71,4527.75,3,3,50,50,15,7,60,70,0,0,0,4,815,0,0,11489,-1
4275,9922.1,9653.9,4629.02,4527.33,2,3,50,50,13,7,60,75,0,0,0,3,988,0,0,10968,-1
4276,9922.1,9653.9,4648.46,4518.04,3,3,50,50,14,7,60,73,0,0,0,8,849,0,0,12826,-1
4277,9922.1,9653.9,4643.36,4523.26,2,2,50,50,14,7,60,70,0,0,0,4,956,0,0,13098,-1
4278,9922.1,9653.9,4705.35,4543.74,3,3,50,50,17,6,60,79,0,0,0,5,907,0,0,12019,-1
4279,9922.1,9820.9,4681.08,4544.35,3,3,50,50,15,7,60,71,0,0,0,9,810,0,0,12880,-1
4280,9922.1,9820.9,4711.22,4512.98,2,2,50,50,15,6,60,74,0,0,0,5,890,0,0,12624,-1
4281,9922.1,9829.7,4671.46,4534.16,3,3,50,50,14,7,60,76,0,0,0,3,1052,0,0,11817,-1
4282,9922.1,9829.7,4651.3,4497.65,2,2,50,50,14,5,60,67,0,0,0,8,1322,0,0,13299,-1
4283,9922.1,9829.7,4617.48,4473.16,3,2,50,50,13,5,60,72,0,0,0,16,1078,0,0,11781,-1
4284,9922.1,9829.7,4576.57,4471.97,2,2,50,50,11,5,60,63,0,0,0,10,826,0,0,12182,-1
4285,10000.4,9829.7,4614.63,4435.93,3,2,50,50,11,3,60,71,0,0,0,6,505,0,0,12195,-1
4286,10000.4,9820.9,4654.04,4416.08,3,3,50,50,13,2,60,72,0,0,0,9,720,0,0,12957,-1
4287,10000.4,9820.9,4629.15,4377.98,2,3,50,50,12,2,60,75,0,0,0,20,1038,0,0,11923,-1
4288,10000.4,9820.9,4640.13,4449.71,3,3,50,50,13,6,60,78,0,0,0,9,710,0,0,12567,-1
4289,10000.4,9820.9,4625.05,4437.34,3,3,50,50,11,5,60,69,0,0,0,8,842,0,0,12232,-1
4290,10000.4,9820.9,4649.67,4416.19,2,2,50,50,11,3,60,67,0,0,0,4,515,0,0,12504,-1
4291,10000.4,9546.3,4647.97,4393.81,2,2,50,50,10,1,60,62,0,0,0,3,946,0,0,12932,-1
4292,10000.4,9546.3,4656.22,4404.16,3,2,50,50,12,1,60,70,0,0,0,3,864,0,0,12733,-1
4293,10000.4,9546.3,4657.63,4423.87,2,2,50,50,12,1,60,62,0,0,0,5,612,0,0,13340,-1
4294,10000.4,9597.1,4648.92,4463.73,3,3,50,50,11,3,60,74,0,0,0,2,498,0,0,14132,-1
4295,10000.4,9891.5,4642.01,4496.65,3,3,50,50,10,3,60,70,0,0,0,9,378,0,0,12941,-1
4296,9890.3,9891.5,4610.47,4493.63,2,2,50,50,8,3,60,77,0,0,0,9,464,0,0,13999,-1
4297,9890.3,9891.5,4587.57,4530.91,2,3,50,50,7,4,60,72,0,0,0,6,566,0,0,14100,-1
4298,9890.3,9891.5,4595.95,4523.69,2,2,50,50,7,4,60,70,0,0,0,3,375,0,0,13752,-1
4299,9890.3,9891.5,4577.89,4512.96,2,2,50,50,7,4,60,71,0,0,0,6,567,0,0,12806,-1
4300,9890.3,9891.5,4563.75,4545.55,3,3,50,50,7,5,60,75,0,0,0,2,249,0,0,13129,-1
4301,9890.3,9980.5,4569.24,4572.79,3,3,50,50,8,6,60,70,0,0,0,3,505,0,0,13088,-1
4302,9890.3,9980.5,4563.36,4569.11,2,3,50,50,7,7,60,68,0,0,0,6,963,0,0,12677,-1
4303,9890.3,9980.5,4537.95,4606.39,3,3,50,50,6,8,60,78,0,0,0,4,1010,0,0,13155,-1
4304,9845.8,9980.5,4491.66,4581.49,2,2,50,50,4,8,60,71,0,0,0,7,725,0,0,13256,-1
4305,9849.2,9980.5,4493.66,4614.16,3,3,50,50,4,9,60,63,0,0,0,7,390,0,0,12633,-1
4306,9849.2,9980.5,4537.67,4600.31,3,3,50,50,5,8,60,72,0,0,0,3,255,0,0,12914,-1
4307,9847.3,9980.5,4604.49,4552.08,3,3,50,50,8,6,60,71,0,0,0,6,466,0,0,12920,-1
4308,9906.2,9980.5,4639.42,4528.77,3,3,50,50,9,5,60,74,0,0,0,5,580,0,0,12489,-1
